INFO 2024-07-22 18:41:48,477 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-22 18:41:48,857 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\email\mime\text.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,857 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\operator.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,858 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1721637562.9496741
DEBUG 2024-07-22 18:41:48,858 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\template\response.py first seen with mtime 1721637563.4076734
DEBUG 2024-07-22 18:41:48,859 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\migrations\graph.py first seen with mtime 1721637563.2676737
DEBUG 2024-07-22 18:41:48,859 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\asyncio\base_tasks.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,859 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1721637563.295674
DEBUG 2024-07-22 18:41:48,860 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1721637561.0846734
DEBUG 2024-07-22 18:41:48,860 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1721637563.228674
DEBUG 2024-07-22 18:41:48,861 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\utils\topological_sort.py first seen with mtime 1721637563.4626741
DEBUG 2024-07-22 18:41:48,861 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\win32\lib\pywin32_bootstrap.py first seen with mtime 1720422763.4694881
DEBUG 2024-07-22 18:41:48,861 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\html\__init__.py first seen with mtime 1630341324.0
